budget,popularity,runtime,vote_average,vote_count,release_year,main_genre
237000000,150.437577,162,7.2,11800,2009,Action
300000000,139.082615,169,6.9,4500,2007,Action
245000000,107.376788,148,6.3,4466,2015,Action
250000000,112.31295,165,7.6,9106,2012,Action
260000000,43.926995,132,6.1,2124,2012,Action
258000000,115.699814,139,5.9,3576,2007,Action
280000000,134.279229,141,7.3,6767,2015,Action
250000000,155.790452,151,5.7,7004,2016,Action
270000000,57.925623,154,5.4,1400,2006,Action
200000000,107.928811,106,6.1,2965,2008,Action
200000000,145.847379,151,7.0,5246,2006,Action
255000000,49.046956,149,5.9,2311,2013,Action
225000000,99.398009,143,6.5,6359,2013,Action
220000000,144.448633,143,7.4,11776,2012,Action
380000000,135.413856,136,6.4,4948,2011,Action
225000000,52.035179,106,6.2,4160,2012,Action
250000000,120.965743,144,7.1,4760,2014,Action
215000000,89.866276,136,6.5,6586,2012,Action
200000000,37.668301,140,6.2,1398,2010,Action
207000000,61.22601,187,6.6,2337,2005,Action
200000000,100.025899,194,7.5,7562,1997,Drama
250000000,198.372395,147,7.1,7241,2016,Action
209000000,64.928382,131,5.5,2114,2012,Action
150000000,418.708552,124,6.5,8662,2015,Action
200000000,93.004993,143,6.9,7604,2012,Action
200000000,35.149586,127,6.7,4321,2004,Action
200000000,77.68208,130,6.8,8806,2013,Action
210000000,3.857526,104,6.3,3525,2006,Action
150000000,21.939663,150,6.0,3138,2009,Action
210000000,116.840296,165,5.8,3095,2014,Action
200000000,89.270217,142,6.5,4179,2014,Action
170000000,73.79505,125,6.3,2841,2010,Action
200000000,49.98659,106,5.8,2033,2011,Comedy
200000000,51.872839,114,5.1,2487,2011,Action
200000000,59.995418,103,7.6,4597,2010,Comedy
200000000,71.862892,115,5.9,2463,2009,Action
190000000,102.322217,137,7.3,4176,2015,Action
200000000,81.834855,116,6.7,5560,2013,Action
250000000,118.078691,131,7.5,6032,2014,Action
190000000,78.291018,132,7.4,4418,2013,Action
195000000,43.349855,114,5.5,2598,2013,Action
105000000,61.196071,143,7.3,3769,2013,Drama
150000000,62.169881,116,6.2,2317,2010,Action
180000000,56.523205,131,6.7,4794,2013,Action
195000000,28.529607,154,6.1,3299,2011,Action
185000000,75.674458,122,5.7,2495,2008,Action
185000000,125.114374,93,6.7,4641,2012,Action
185000000,65.352913,122,6.6,2568,2016,Action
140000000,22.57178,91,6.1,783,2007,Action
200000000,45.274225,158,5.6,4903,2009,Action
200000000,39.744242,96,6.6,1095,2009,Drama
176000003,85.36908,124,5.2,2768,2015,Action
180000000,42.741719,109,5.5,2430,2016,Action
185000000,187.322927,152,8.2,12002,2008,Action
175000000,92.201962,96,7.7,6870,2009,Comedy
140000000,120.725053,126,7.4,8776,2008,Action
170000000,32.319043,126,7.0,2141,2011,Drama
170000000,40.748915,106,5.1,1020,1999,Action
145000000,60.034162,112,5.2,1387,2008,Action
175000000,90.23792,123,5.9,7458,2016,Action
175000000,27.082182,96,5.3,1151,2007,Comedy
178000000,79.456485,113,7.6,4858,2014,Action
175000000,44.640292,135,5.9,992,1995,Action
175000000,32.852443,118,5.6,1962,2009,Action
175000000,128.655964,94,8.0,6560,2015,Comedy
175000000,94.199316,106,6.7,2892,2016,Drama
200000000,77.300194,124,6.6,6849,2010,Action
170000000,77.178973,127,5.8,3118,2012,Drama
180000000,110.620647,97,7.0,4496,2014,Action
170000000,243.791743,130,7.3,4410,2014,Action
27000000,2.418535,109,4.8,34,2015,Action
175000000,41.796339,119,5.9,1326,2013,Action
170000000,72.225265,136,7.6,5764,2014,Action
165000000,44.041186,93,6.0,1959,2010,Comedy
165000000,203.73459,102,7.8,6135,2014,Action
165000000,62.341073,108,7.1,4570,2012,Comedy
165000000,48.775723,120,4.9,2491,2016,Action
200000000,69.405188,109,5.9,2143,2003,Action
170000000,481.098624,121,7.9,9742,2014,Action
165000000,724.247784,169,8.1,10867,2014,Drama
160000000,167.58371,148,8.1,13752,2010,Action
15000000,9.476999,120,6.5,143,2016,Action
250000000,108.849621,169,7.0,8297,2012,Action
38000000,6.909942,106,6.6,3428,2001,Action
150000000,60.269279,166,7.3,3292,2008,Drama
160000000,3.195174,132,7.1,5181,2011,Action
160000000,127.284427,137,6.6,3984,2015,Action
150000000,35.580815,109,5.8,1470,2010,Action
160000000,21.133748,99,5.5,583,2006,Action
160000000,42.986467,93,6.0,2278,2007,Comedy
160000000,63.148529,123,6.3,2268,2016,Action
155000000,202.042635,126,5.8,3631,2015,Action
150000000,25.468493,144,6.6,4040,2007,Action
155000000,39.019229,175,5.6,927,2004,Action
150000000,56.758411,92,6.2,2961,2008,Action
150000000,70.867401,101,6.9,4853,2007,Action
150000000,53.905592,115,6.7,3624,2005,Comedy
150000000,65.677399,111,7.5,4369,2007,Comedy
150000000,115.040024,140,7.5,7359,2005,Action
150000000,81.781591,105,5.9,1971,2009,Action
150000000,5.954334,107,6.2,4021,2009,Action
150000000,73.313918,129,6.4,3096,2003,Action
150000000,70.78591,138,6.7,3443,2003,Action
170000000,99.499595,112,6.8,4755,2013,Action
150000000,434.278564,120,7.2,9427,2015,Action
150000000,86.493424,115,6.6,6525,2011,Action
150000000,41.845878,98,6.3,1750,2008,Comedy
150000000,26.710398,88,5.1,510,2009,Action
150000000,50.306728,113,5.7,2320,2012,Comedy
150000000,114.522237,131,7.1,3224,2015,Action
150000000,21.214571,102,5.5,549,2010,Drama
150000000,29.332905,91,5.7,1171,2007,Comedy
150000000,33.769336,103,4.7,1151,2010,Action
150000000,63.079003,126,6.5,2028,2006,Action
150000000,39.004588,131,6.4,1891,2013,Action
149000000,22.550135,85,6.0,874,2006,Comedy
175000000,66.803149,163,6.9,2759,2004,Drama
140000000,54.159392,133,5.8,1092,2002,Action
144000000,66.21806,116,5.3,2142,2016,Action
140000000,58.485967,151,6.4,2482,1998,Action
140000000,91.332849,88,6.0,3114,2002,Action
70000000,35.601665,115,5.5,841,2007,Action
145000000,56.747978,95,6.7,1603,2016,Action
145000000,77.77477,133,6.8,3972,2011,Action
100000000,25.159168,90,5.9,627,2005,Comedy
140000000,52.341226,154,7.3,1895,2003,Action
140000000,101.599427,150,5.6,1921,2014,Action
150000000,73.616808,127,7.4,4518,2009,Action
139000000,82.502566,121,6.8,5265,2002,Action
145000000,100.21391,102,7.6,3106,2014,Action
135000000,17.88953,121,4.9,331,2005,Action
130000000,64.798873,163,7.0,2811,2009,Action
140000000,24.855701,127,6.3,767,1998,Action
137000000,34.981698,138,5.3,1533,2003,Action
130000000,59.325589,110,5.4,3025,2013,Action
130000000,21.605568,124,5.7,434,2005,Action
137000000,26.074908,106,5.9,433,2001,Action
140000000,74.506246,124,6.6,7047,2011,Action
135000000,39.604363,128,6.0,862,1999,Action
120000000,99.687084,115,6.1,2553,2012,Drama
130000000,17.7735,100,5.8,373,2011,Comedy
150000000,62.898336,114,6.1,3021,2008,Action
135000000,100.635882,156,7.3,6396,2015,Drama
135000000,29.91353,107,6.6,2051,2011,Comedy
132000000,84.366984,92,6.5,1346,2014,Comedy
70000000,45.381501,115,7.3,2888,2007,Action
130000000,84.689648,90,6.9,3145,2008,Comedy
130000000,120.09361,117,7.0,5880,2015,Action
130000000,76.310119,146,7.4,6495,2013,Action
135000000,63.473086,94,6.8,1519,2015,Comedy
130000000,38.068736,147,6.3,1564,2003,Action
130000000,20.678787,90,6.4,451,2011,Action
110000000,48.829437,100,6.2,2093,2010,Action
125000000,46.115758,139,5.6,2350,2014,Drama
130000000,28.840997,165,6.3,694,2008,Drama
130000000,42.840582,100,5.0,2532,2013,Action
127000000,115.597753,97,6.1,1851,2014,Comedy
130000000,68.757242,95,6.7,1918,2010,Action
130000000,39.448066,96,5.4,1260,2013,Action
140000000,271.972889,143,7.5,6985,2003,Action
103000000,42.40024,102,6.3,978,2014,Comedy
110000000,2.871739,133,6.8,3506,2003,Action
125000000,7.255718,130,7.1,2438,2011,Action
125000000,81.499621,129,7.0,3886,2011,Action
125000000,47.686442,106,5.6,2233,2010,Action
65000000,43.129703,113,7.1,1710,1990,Action
160000000,27.220157,102,6.4,510,1999,Action
130000000,90.33681,120,6.0,2651,2012,Action
125000000,50.073575,125,4.2,1418,1997,Action
123000000,45.419668,104,6.2,1386,2000,Comedy
125000000,41.380094,124,6.2,2392,2004,Action
125000000,54.931334,123,5.9,1928,2000,Action
120000000,25.752118,130,6.2,597,2000,Drama
130000000,60.810723,92,5.4,2589,2007,Action
120000000,51.328145,127,7.2,5797,2012,Action
110000000,46.834704,114,5.2,1712,2007,Action
120000000,62.641286,123,5.9,2341,2016,Action
120000000,33.616115,106,5.2,914,2003,Action
120000000,27.990284,78,5.4,613,2002,Comedy
115000000,67.33767,109,6.4,3439,2013,Action
105000000,27.835436,119,6.3,1570,2004,Action
